Date,volume,daily_return,weekly_return,monthly_return,RSI,MACD,MACD_signal,daily_volatility,high_low_ratio,true_range,ATR,wavelet_detail_3,wavelet_detail_2,wavelet_detail_1,market_Dow Jones_lag1,market_Dow Jones_lag2,supplier_Glencore_ret_lag1,supplier_AGC Inc._ret_lag2,supplier_Glencore_ret_lag2,supplier_AGC Inc._ret_lag1,acceptance,comp_General Motors_ret_lag2,market_S&P 500_lag2,supplier_pca_lag1,comp_General Motors_ret_lag1,market_S&P 500_lag1,market_NASDAQ_lag2,sentiment_score,supplier_pca_lag2,comp_Ford_ret_lag2,tech_pca_lag1,market_VIX_lag1,tech_Apple_ret_lag2,comp_pca_lag1,market_NASDAQ_lag1,tech_NVIDIA_ret_lag3,tech_Google_ret_lag2,tech_Microsoft_ret_lag2,comp_BYD_ret_lag2,supplier_CATL_ret_lag1,supplier_Ganfeng Lithium_ret_lag3,comp_Ford_ret_lag1,tech_Meta_ret_lag1,tech_pca_lag2
2020-02-05,726357000.0,0.0888396533054163,0.6983665119545612,0.7239519756579769,0.6864973256010026,0.5346825507623161,0.5330398027624439,0.7150343742138772,0.7644785539026469,0.1840874801281037,0.0743057830891031,0.5139851615222409,0.6194411509801429,0.3801173558398594,0.0142578381808324,0.0050756130019059,0.0505934624030442,-0.004002610303211,-0.0040529460585698,-0.002677335162746,0.7012731978359212,0.00983474781933,0.0072284257612325,5.225901701255892,0.0190929464589998,0.014869315917506,0.0132934757902946,0.07955,0.3757045955589303,0.0179778668695467,1.615893455212638,-0.1129948605439545,-0.0027498209708282,2.280322052945787,0.0207643652015189,-0.0389070671618078,0.034180599107655,0.0240864593960059,0.0084796428744314,0.0953369589959785,-0.0069895630961959,0.022027672153012,0.0272467921308988,1.5711086603848017
2020-02-06,598212000.0,0.5257663182650274,0.6021109875965781,0.7057237774095022,0.7016074401001553,0.5358015658613576,0.5382056346086193,0.7144807877304307,0.5938615841152117,0.1023639086617682,0.0889447886709022,0.4798785849524817,0.5445357625595905,0.5131672062873938,0.0166348547848241,0.0142578381808324,0.0153260580635317,-0.002677335162746,0.0505934624030442,-0.001341442685824,0.636611130709153,0.0190929464589998,0.014869315917506,5.0636692500652725,0.0190206493821435,0.0111877786589729,0.0207643652015189,0.0462888888888888,5.225901701255892,0.022027672153012,0.2629080478381013,-0.0577082952649973,0.0324803383246224,-1.4271303875630577,0.0042905385983301,0.0163609339646581,-0.0254042994022601,0.0323862701292607,0.0574265463595756,0.0953102156972747,0.0579095788014126,-0.0995677338043409,0.001333476503493,1.615893455212638
2020-02-07,255952500.0,0.478689024738617,0.5831179310968971,0.6596982571139773,0.7044614680001501,0.5358371843153563,0.5423463942266209,0.714432863888083,0.1820782836624568,0.0261973389229738,0.0937783170329907,0.4585539413391631,0.5348859750890137,0.5298030051602713,0.0030311590796179,0.0166348547848241,0.0096700490944198,-0.001341442685824,0.0153260580635317,0.0013414426858241,0.6322093899860864,0.0190206493821435,0.0111877786589729,1.0918802488187234,-0.0201851303032574,0.0033201550570019,0.0042905385983301,0.2132944444444444,5.0636692500652725,-0.0995677338043409,1.347134107341326,-0.0126205316795954,0.0081211756292787,-1.3911510848697737,0.0066528486410863,0.0279015275511321,0.0004426220320877,-0.0012221396161866,0.0671688305338599,0.0365660323819535,0.0816781019106691,-0.0072462451337683,0.0035158133132609,0.2629080478381013
2020-02-10,370338000.0,0.5523181632385334,0.4212955162507446,0.7091054159841598,0.6966707250853964,0.5367072923541252,0.5458567302447888,0.7061297068541952,0.3222179747754952,0.0616675143912338,0.0997829723397612,0.4546126446279438,0.572162294352156,0.5029040179322384,-0.0094819096056389,0.0030311590796179,-0.0245673292729877,0.0013414426858241,0.0096700490944198,-0.0299343160537472,0.6526093806588662,-0.0201851303032574,0.0033201550570019,-2.0401787699177376,-0.0206010969044215,-0.0054154910094583,0.0066528486410863,0.1462833333333333,1.0918802488187234,-0.0072462451337683,-0.3410342729267342,0.0335227067497857,0.0116289076852893,-1.6002093886611624,-0.0054094872590161,0.0145818908375757,0.020479851549347,0.0205218605816888,-0.0128618897863139,-0.0587282891170207,0.1899177651357435,-0.0171154267449244,0.0069946873804321,1.347134107341326
2020-02-11,175462500.0,0.4905913099804632,0.304891605955788,0.7194119916188333,0.6848726692377011,0.5368163306815334,0.5486897775520436,0.703813983762565,0.0997004581918847,0.0104966008789501,0.0959165090783558,0.4438360921509576,0.5797919298384284,0.4944172903128269,0.0059716706117254,-0.0094819096056389,-0.0155575492365872,-0.0299343160537472,-0.0245673292729877,-0.0209357038612056,0.6450257946832052,-0.0206010969044215,-0.0054154910094583,-2.0401787699177376,0.0182678258760932,0.0072996901205732,-0.0054094872590161,0.2927916666666667,1.0918802488187234,-0.0171154267449244,1.6952714660811723,-0.0281893658607223,-0.0136855232611006,0.6398044740140967,0.0112675952632932,0.0138216581493843,0.0021251188539465,0.001414816314278,-0.0163135610060298,0.0310968967386432,-0.0108696114224727,-0.006184390209478,0.0034321364880358,-0.3410342729267342
2020-02-12,180337500.0,0.4604791466290038,0.477100317096168,0.6248055863069519,0.6732926649109945,0.5356159421596218,0.5506834322493984,0.6852803280848032,0.1032768202958038,0.0114558271989493,0.0959129655624062,0.4335708798081969,0.5781850141940311,0.4840732762324526,-1.6411368702503054e-05,0.0059716706117254,0.0162006665447025,-0.0209357038612056,-0.0155575492365872,-0.0209357038612056,0.6374422087075441,0.0182678258760932,0.0072996901205732,0.8279121228482123,0.0219474713674485,0.0016870486860021,0.0112675952632932,0.4393,-2.0401787699177376,-0.006184390209478,-0.9597764138682552,0.0092654760859641,0.0047383352314027,0.4810091026547844,0.0010951992063065,-0.010517170550664,0.0197813513362923,0.0258207471703775,0.0302398501324105,-0.042396383185145,0.0018200938751109,0.0049505987977848,-0.0279375468033809,1.6952714660811723
2020-02-13,394339500.0,0.5907549050682537,0.5063706178963214,0.6444612044576917,0.7055993715769994,0.5364633449537434,0.5524709246614851,0.6881744281698368,0.4136861000308371,0.073884148627336,0.1071628265885536,0.4397940590677953,0.5743352659274847,0.5230331345421587,0.0093521182564774,-1.6411368702503054e-05,0.023296431008364,-0.0209357038612056,0.0162006665447025,-0.0156366107410102,0.7039150100342552,0.0219474713674485,0.0016870486860021,1.7735759954521833,0.0136169769125559,0.006441853105203,0.0010951992063065,-0.4588,0.8279121228482123,0.0049505987977848,1.0461061338594342,-0.0996675219351536,-0.0060516807051421,0.9364999452883582,0.0089874066205392,0.0442392888121999,0.0009274241681714,-0.022834372545024,-0.0357374068991111,0.0078604557629825,0.1278331832701439,0.017136225835449,0.0170838683496154,-0.9597764138682552
2020-02-14,235405500.0,0.4701194459933394,0.5023214811632324,0.6734627617023011,0.7094775535870123,0.5360634440890355,0.553810042833055,0.6769995345580921,0.1049168557426369,0.0126576360761965,0.1075052886214047,0.4617528228672219,0.5582632759409568,0.4992251432522326,-0.0043445582706031,0.0093521182564774,-0.0044057938241753,-0.0156366107410102,0.023296431008364,0.0057142985121907,0.6769563983840211,0.0136169769125559,0.006441853105203,-0.4983180490137032,-0.005651091616161,-0.0016317763599886,0.0089874066205392,0.5892999999999999,1.7735759954521833,0.017136225835449,-0.3789693865132991,0.0294033269941186,0.0234700598523703,-0.2707531832253081,-0.0014394780736095,0.0185363560712024,0.0056593661246213,0.001462798542155,0.0054975567667006,-0.0209508016446159,-0.0210193904464642,0.0012129923211684,0.0112291065558955,1.0461061338594342
2020-02-18,245725500.0,0.6481593508079031,0.5460269292145619,0.7507180555667803,0.7348388725154894,0.539046153762427,0.5555591453639444,0.6814781536908734,0.0979275423560119,0.0484915907447404,0.1148123637231285,0.5522067661323606,0.542817425372768,0.4801417115008716,-0.0043445582706031,-0.0008578671816239,0.0114749212138693,-0.002853111380211,-0.016322688316757,-0.0042949443779165,0.6516411422550601,-0.015132562601202,0.0018418360984854,1.043120551901553,-0.005651091616161,-0.0016317763599886,0.0019760139449687,0.0,-0.9361744355906648,-0.0183492181566175,1.1341009396054116,0.0294033269941186,0.0002463713346417,-1.5094693347162642,-0.0014394780736095,-0.0064785368894488,0.0035223420439713,0.0088879073637061,-0.0189421932684766,0.0276332952882096,-0.0102716215050183,0.0012129923211684,0.0112291065558955,-0.3789693865132991
2020-02-19,381345000.0,0.6385510452776455,0.6181324150390735,0.8259783698783693,0.7545945071215625,0.5446904788722585,0.5582410760863277,0.6830634577951209,0.1587688108761451,0.0776108980828974,0.1260764089664152,0.575086725426447,0.5554840169435421,0.5279122488122338,-0.0056588881142531,-0.0008578671816239,-0.0456047757880483,-0.0042949443779165,0.0114749212138693,-0.0071992528857571,0.6672439601082909,-0.015132562601202,0.0018418360984854,-1.7625083517774125,-0.0101199156308355,-0.0029242139861477,0.0019760139449687,0.0,1.043120551901553,-0.0183492181566175,0.302702811533526,0.0807172165026972,0.0002463713346417,-0.2657578429610414,0.0001603527844963,0.0678498079491457,0.0035223420439713,0.0088879073637061,0.0145171974902019,0.0162207979907888,0.0088106662137038,-0.0049505987977848,0.0167605167435945,1.1341009396054116
