Date,volume,daily_return,weekly_return,monthly_return,RSI,MACD,MACD_signal,daily_volatility,high_low_ratio,true_range,ATR,wavelet_detail_3,wavelet_detail_2,wavelet_detail_1,acceptance
2020-02-05,726357000.0,0.0888396533054163,0.6983665119545612,0.7239519756579769,0.6864973256010026,0.5346825507623161,0.5330398027624439,0.7150343742138772,0.7644785539026469,0.1840874801281037,0.0743057830891031,0.5139851615222409,0.6194411509801429,0.3801173558398594,0.7012731978359212
2020-02-06,598212000.0,0.5257663182650274,0.6021109875965781,0.7057237774095022,0.7016074401001553,0.5358015658613576,0.5382056346086193,0.7144807877304307,0.5938615841152117,0.1023639086617682,0.0889447886709022,0.4798785849524817,0.5445357625595905,0.5131672062873938,0.636611130709153
2020-02-07,255952500.0,0.478689024738617,0.5831179310968971,0.6596982571139773,0.7044614680001501,0.5358371843153563,0.5423463942266209,0.714432863888083,0.1820782836624568,0.0261973389229738,0.0937783170329907,0.4585539413391631,0.5348859750890137,0.5298030051602713,0.6322093899860864
2020-02-10,370338000.0,0.5523181632385334,0.4212955162507446,0.7091054159841598,0.6966707250853964,0.5367072923541252,0.5458567302447888,0.7061297068541952,0.3222179747754952,0.0616675143912338,0.0997829723397612,0.4546126446279438,0.572162294352156,0.5029040179322384,0.6526093806588662
2020-02-11,175462500.0,0.4905913099804632,0.304891605955788,0.7194119916188333,0.6848726692377011,0.5368163306815334,0.5486897775520436,0.703813983762565,0.0997004581918847,0.0104966008789501,0.0959165090783558,0.4438360921509576,0.5797919298384284,0.4944172903128269,0.6450257946832052
2020-02-12,180337500.0,0.4604791466290038,0.477100317096168,0.6248055863069519,0.6732926649109945,0.5356159421596218,0.5506834322493984,0.6852803280848032,0.1032768202958038,0.0114558271989493,0.0959129655624062,0.4335708798081969,0.5781850141940311,0.4840732762324526,0.6374422087075441
2020-02-13,394339500.0,0.5907549050682537,0.5063706178963214,0.6444612044576917,0.7055993715769994,0.5364633449537434,0.5524709246614851,0.6881744281698368,0.4136861000308371,0.073884148627336,0.1071628265885536,0.4397940590677953,0.5743352659274847,0.5230331345421587,0.7039150100342552
2020-02-14,235405500.0,0.4701194459933394,0.5023214811632324,0.6734627617023011,0.7094775535870123,0.5360634440890355,0.553810042833055,0.6769995345580921,0.1049168557426369,0.0126576360761965,0.1075052886214047,0.4617528228672219,0.5582632759409568,0.4992251432522326,0.6769563983840211
2020-02-18,245725500.0,0.6481593508079031,0.5460269292145619,0.7507180555667803,0.7348388725154894,0.539046153762427,0.5555591453639444,0.6814781536908734,0.0979275423560119,0.0484915907447404,0.1148123637231285,0.5522067661323606,0.542817425372768,0.4801417115008716,0.6516411422550601
2020-02-19,381345000.0,0.6385510452776455,0.6181324150390735,0.8259783698783693,0.7545945071215625,0.5446904788722585,0.5582410760863277,0.6830634577951209,0.1587688108761451,0.0776108980828974,0.1260764089664152,0.575086725426447,0.5554840169435421,0.5279122488122338,0.6672439601082909
2020-02-20,264523500.0,0.4365368074551639,0.6055470912039652,0.733890579097618,0.7044109306198427,0.5469742093957294,0.5609055886408771,0.6848821196082491,0.2061887181162216,0.0457461492463789,0.1238743422538893,0.563242108639682,0.5914936772089059,0.4852526342872652,0.6765274607435112
2020-02-21,214722000.0,0.4854454646192257,0.5537556307363058,0.6968400137877484,0.7001225111761015,0.5479682915506956,0.5632630995950128,0.6862114372410111,0.1131022018921728,0.0183249198089572,0.1260267185163938,0.5444170582445831,0.6068601762591515,0.5095400218243911,0.6883701908620424
2020-02-24,227883000.0,0.3109133493217917,0.4749300151533256,0.6219672340951585,0.5291374512832191,0.5431340278409637,0.5640505426430527,0.7232809060479233,0.1653595947558344,0.0692533138543851,0.1159533149388642,0.5058371412484147,0.6037492322083897,0.484096693154099,0.6679668741346813
2020-02-25,259357500.0,0.3885338733658258,0.364062719000756,0.5973947078509323,0.3751911424593475,0.5361170385898821,0.5630859163389969,0.7335501986872766,0.3166906769550577,0.0591095144475104,0.0947684505240392,0.4828534528789595,0.5823657778155645,0.5061559642510938,0.6640808152489257
2020-02-26,211282500.0,0.4210878229530859,0.2807045974357027,0.5850484099869919,0.5452920548102267,0.5283620597691383,0.5605519295855306,0.737857373062496,0.1562507095754179,0.0233858417841861,0.0689062161290895,0.4794600260373985,0.5318672694499128,0.5517039069150299,0.6247552240060962
2020-02-27,364158000.0,0.1885190820357781,0.1862897896873345,0.4662753887446202,0.3864891415198644,0.5146197017686439,0.5554018482073162,0.8150179555059873,0.3854037013632458,0.103433416986987,0.0690783355628377,0.467864076430005,0.5111247079384837,0.4581743604424867,0.6534974248797687
2020-02-28,363343500.0,0.4443444362044795,0.1726726198484699,0.4374696890269645,0.3759413249495524,0.5025461635899808,0.5485381232836297,0.8169515531866478,0.4780951845017451,0.0694738147744322,0.0760429587850512,0.4568194602962694,0.5201710678240999,0.4609451150001837,0.6534974248797687
2020-03-02,302925000.0,0.7401777288008549,0.3238640954835707,0.4438871634761284,0.4447070696760941,0.4979706751928711,0.5420073832104629,0.8241517207778355,0.2953070829281987,0.0658353287772817,0.0767136986336141,0.4551863683137563,0.5525543971547469,0.558044210934507,0.6822396257534413
2020-03-03,386760000.0,0.4872140382793917,0.3641941689856748,0.4351826510466406,0.4432839030976937,0.494170129797486,0.5359191334945521,0.8242588307513317,0.4690155119810155,0.0825615380529068,0.0883113420432075,0.4612507122997101,0.6236578117195416,0.4961810708668842,0.670756411024343
