day,sentiment_score,acceptance
2020-01-01,0.43565,0.6316154753119614
2020-01-02,0.217825,0.6487569409324245
2020-01-03,0.217825,0.6487569409324245
2020-01-04,0.217825,0.6487569409324245
2020-01-05,0.0,0.6658984065528876
2020-01-06,0.0,0.5710000074817595
2020-01-07,0.29295,0.6678848932233545
2020-01-08,0.8011,0.5334455254216122
2020-01-09,0.0,0.7087966450833683
2020-01-10,0.1101,0.6562992631400495
2020-01-11,-0.18490000000000004,0.6321586265602308
2020-01-12,0.1866,0.6617488916728541
2020-01-13,0.249525,0.6792913707181878
2020-01-14,0.31245,0.6968338497635216
2020-01-15,0.156225,0.6729723412332546
2020-01-16,0.0,0.6491108327029875
2020-01-17,0.0,0.6575915088505488
2020-01-18,0.0,0.6785528249075107
2020-01-19,-0.2023,0.5880902378546126
2020-01-20,0.8122,0.5847202437730539
2020-01-21,0.6588,0.6459141602071041
2020-01-22,0.4393,0.6516828642629702
2020-01-23,0.4074,0.680054038498779
2020-01-24,0.15011666666666665,0.6277032558420734
2020-01-25,-0.10716666666666667,0.575352473185368
2020-01-26,-0.2537333333333333,0.5968625251396864
2020-01-27,-0.4003,0.6183725770940048
2020-01-28,0.0,0.6215002363194707
2020-01-29,0.32926666666666665,0.6616838705719842
2020-01-30,-0.3612,0.6834076855080724
2020-01-31,0.214625,0.7159770059010433
2020-02-01,-0.3612,0.7429789173479098
2020-02-02,0.49826,0.6941138091214019
2020-02-03,0.04829999999999999,0.6701728815716174
2020-02-04,0.392,0.6299207543652222
2020-02-05,0.07955,0.7012731978359212
2020-02-06,0.04628888888888889,0.636611130709153
2020-02-07,0.21329444444444443,0.6322093899860864
2020-02-08,0.38029999999999997,0.6278076492630199
2020-02-09,0.0,0.6352448575471403
2020-02-10,0.14628333333333335,0.6526093806588662
2020-02-11,0.2927916666666667,0.6450257946832052
2020-02-12,0.4393,0.6374422087075441
2020-02-13,-0.4588,0.7039150100342552
2020-02-14,0.5892999999999999,0.6769563983840211
2020-02-15,0.233875,0.6765174049696453
2020-02-16,-0.4868,0.7195543241194194
2020-02-17,0.0,0.6360383244018292
2020-02-18,0.0,0.6516411422550601
2020-02-19,0.0,0.6672439601082909
2020-02-20,0.151625,0.6765274607435112
2020-02-21,0.0,0.6883701908620424
2020-02-22,0.0,0.6718529330204368
2020-02-23,-0.00516,0.6679668741346813
2020-02-24,-0.00516,0.6679668741346813
2020-02-25,-0.01032,0.6640808152489257
2020-02-26,0.4019,0.6247552240060962
2020-02-27,0.31565,0.6534974248797687
2020-02-28,0.31565,0.6534974248797687
2020-02-29,0.31565,0.6534974248797687
2020-03-01,0.31565,0.6534974248797687
2020-03-02,0.2294,0.6822396257534413
2020-03-03,0.11396666666666666,0.670756411024343
2020-03-04,-0.3255166666666667,0.6992123954215135
2020-03-05,-0.3255166666666667,0.6992123954215135
2020-03-06,-0.765,0.727668379818684
2020-03-07,0.0,0.5873994620830606
2020-03-08,0.0,0.6745313750798179
2020-03-09,0.08868749999999999,0.6632524487766879
2020-03-10,0.17737499999999998,0.6519735224735579
2020-03-11,0.015583333333333319,0.6864869775495467
2020-03-12,0.18781666666666666,0.6744924616856611
2020-03-13,0.18781666666666666,0.6744924616856611
2020-03-14,0.36005,0.6624979458217757
2020-03-15,-0.4939,0.7183851366297814
2020-03-16,0.2263,0.7717106826402171
2020-03-17,0.00843333333333332,0.706126298728784
2020-03-18,-0.20943333333333336,0.6405419148173509
2020-03-19,-0.27413333333333334,0.7048734780748896
2020-03-20,-0.09067916666666667,0.6914894703679327
2020-03-21,0.09277500000000001,0.6781054626609758
2020-03-22,0.06957083333333333,0.6727662168264159
2020-03-23,0.06957083333333333,0.6727662168264159
2020-03-24,0.046366666666666646,0.667426970991856
2020-03-25,0.7096,0.6433422739268898
2020-03-26,0.0,0.6330369700183477
2020-03-27,0.4019,0.570417255194238
2020-03-28,0.6249,0.5702719672577964
2020-03-29,0.31245,0.6366921491261051
2020-03-30,0.0,0.7031123309944138
2020-03-31,0.6808,0.7317182935538348
2020-04-01,0.11034999999999998,0.7081034832564197
2020-04-02,-0.4601,0.6844886729590045
2020-04-03,0.4215,0.6124216200300169
2020-04-04,0.0,0.7111350533146544
2020-04-05,0.22644999999999998,0.5629726919665947
2020-04-06,0.146475,0.5942842034841029
2020-04-07,0.296,0.6309981126196943
2020-04-08,0.317,0.6438093941829258
2020-04-09,-0.006424999999999986,0.661078381823476
2020-04-10,-0.32985,0.6783473694640261
2020-04-11,-0.3804,0.6690545958191231
2020-04-12,0.13570000000000002,0.6758745802669595
2020-04-13,0.4019,0.6978871977160247
2020-04-14,0.6318,0.6507575656045436
2020-04-15,0.3159,0.6742744629199398
2020-04-16,0.0,0.6977913602353361
2020-04-17,0.0799,0.6499882160476125
2020-04-18,0.0,0.7218003726293004
2020-04-19,0.24375000000000002,0.7230358013518052
2020-04-20,0.11140833333333335,0.6820374992902214
2020-04-21,0.11140833333333335,0.6820374992902214
2020-04-22,-0.02093333333333332,0.6410391972286376
2020-04-23,0.25195,0.6780033411696625
2020-04-24,0.1607,0.6605851263464348
2020-04-25,0.5151,0.7118602418995037
2020-04-26,0.4212666666666667,0.7261448647605738
2020-04-27,0.0,0.6658609002457566
2020-04-28,0.1967,0.7014082985028909
2020-04-29,0.3934,0.7369556967600251
2020-04-30,-0.14825000000000002,0.6918134502774097
2020-05-01,-0.06425,0.7203386066574599
2020-05-02,0.31845,0.6232774971248012
2020-05-03,0.5859,0.6676482993616685
2020-05-04,0.0,0.6457590350998687
